Country,Sector,OrgType,Involvement,tools,capability_Advanced_computing_and_programming,capability_Big_data,capability_Business_intelligence_and_domain_expertise,capability_Data_collection_and_analysis,capability_Data_interpretation_and_visualisation,capability_Machine_learning_and_prediction,capability_Math_and_statistics,capability_Open_source_tools_and_concepts,Skills_Advanced_computing_and_programming,Skills_Big_data,Skills_Business_intelligence_and_domain_expertise,Skills_Data_collection_and_analysis,Skills_Data_interpretation_and_visualisation,Skills_Machine_learning_and_prediction,Skills_Math_and_statistics,Skills_Open_source_tools_and_concepts,Training_Accredited,Training_Assessed,Training_Coaching,Training_Face_to_face_training,Training_Internal_assignments,Training_Tailored_to_sector,Training_Translated_from_English,Training_Uses_nonopen_nonfree_software,Training_Webinars,Training_eLearning
Latvia,"Public administration and defence","Large (250+ employees)","Data Scientist",,5,3,3,5,4,3,5,5,essential,desirable,desirable,essential,essential,desirable,essential,essential,,,,,,,,,,
Lithuania,"Public administration and defence","Large (250+ employees)","Data Scientist",,4,3,3,4,5,4,5,3,essential,essential,desirable,desirable,essential,essential,essential,desirable,,,,,,,,,,
Poland,"Arts, recreation and entertainment","Large (250+ employees)","Data Scientist",,5,4,4,3,3,3,5,4,desirable,essential,desirable,essential,desirable,desirable,desirable,desirable,,,,,,,,,,
Poland,"Arts, recreation and entertainment","SME (10 to 250 employees)",Manager,,4,4,4,4,4,4,3,5,desirable,desirable,not_required,desirable,desirable,not_required,not_required,desirable,,,,,,,,,,
Hungary,Tourism,"SME (10 to 250 employees)","Data Scientist","Java,NoSQL / Cassandra",1,1,2,3,3,1,2,1,desirable,desirable,essential,essential,essential,desirable,essential,desirable,not_required,desirable,desirable,essential,essential,essential,desirable,not_required,desirable,essential
Malta,"Scientific and market research","Large (250+ employees)","Data Scientist","Java,R,Python",desirable,2,desirable,3,2,desirable,1,2,desirable,essential,not_required,essential,essential,not_required,desirable,essential,desirable,desirable,essential,essential,essential,essential,not_required,desirable,desirable,desirable
Hungary,"Professional services","SME (10 to 250 employees)",Manager,"Javascript / JQuery,Apache Storm,Python,NoSQL / Cassandra,Java,QMiner",1,1,1,2,3,desirable,3,3,desirable,desirable,desirable,essential,essential,desirable,essential,essential,desirable,desirable,essential,essential,desirable,desirable,not_required,essential,essential,essential
"United Kingdom","Scientific and market research","SME (10 to 250 employees)","Data Scientist","Python,AWS,D3 / nvD3,Spark,Javascript / JQuery",3,3,2,4,2,1,1,4,essential,desirable,essential,essential,desirable,desirable,desirable,essential,desirable,desirable,desirable,desirable,not_required,desirable,not_required,not_required,desirable,essential
Spain,Education,Individual,"Data Scientist","ProM or Disco,Hadoop / MapReduce,Spark,MongoDB,D3 / nvD3,Javascript / JQuery,Python",2,1,1,1,1,1,1,1,desirable,desirable,desirable,essential,essential,essential,essential,essential,not_required,essential,essential,desirable,desirable,not_required,not_required,desirable,not_required,essential
France,"Data and information systems","Micro (<10 employees)","Data Scientist","D3 / nvD3,R,Python,Spark,Open Refine",2,1,3,2,3,1,1,2,desirable,desirable,essential,essential,essential,not_required,desirable,not_required,desirable,desirable,essential,desirable,essential,desirable,not_required,not_required,essential,essential
Portugal,"Scientific and market research","Micro (<10 employees)","Data Scientist","R,Python,Hadoop / MapReduce,D3 / nvD3",3,3,4,3,4,3,3,3,not_required,not_required,desirable,not_required,desirable,essential,essential,essential,essential,not_required,desirable,not_required,not_required,not_required,desirable,not_required,desirable,essential
Slovenia,Education,"Micro (<10 employees)",Manager,"Hadoop / MapReduce,Javascript / JQuery,Apache Flink,Spark",,desirable,,3,2,desirable,,,desirable,essential,not_required,essential,essential,essential,desirable,desirable,desirable,essential,essential,desirable,essential,essential,not_required,desirable,desirable,not_required
Sweden,Education,"Large (250+ employees)","Data Scientist","R,Python,Java,Javascript / JQuery,Hadoop / MapReduce",3,4,2,4,3,3,4,4,essential,essential,desirable,essential,essential,essential,essential,essential,,,essential,essential,desirable,,,not_required,desirable,desirable
Greece,Education,"Micro (<10 employees)",Other,"ProM or Disco,NoSQL / Cassandra,Python,MongoDB,Apache Storm,AWS,Spark,Hadoop / MapReduce",3,2,2,2,2,3,3,4,essential,essential,essential,essential,essential,essential,essential,desirable,essential,essential,essential,desirable,essential,desirable,desirable,not_required,essential,essential
Italy,"Finance and insurance services","Large (250+ employees)",Manager,"NoSQL / Cassandra,R,Hadoop / MapReduce,D3 / nvD3,Spark",2,2,2,2,2,2,2,2,desirable,desirable,desirable,not_required,essential,essential,essential,desirable,desirable,,desirable,desirable,,essential,,desirable,desirable,desirable
Italy,"Finance and insurance services","Large (250+ employees)",Manager,"R,Hadoop / MapReduce,NoSQL / Cassandra,AWS,MongoDB",1,3,3,3,3,1,2,2,essential,desirable,desirable,desirable,essential,essential,essential,not_required,desirable,desirable,desirable,desirable,not_required,essential,not_required,not_required,desirable,essential
,"Data and information systems","Large (250+ employees)","Data Scientist",,3,,3,3,3,,,,essential,desirable,essential,essential,essential,desirable,desirable,not_required,,,,,,,,,,
Italy,"Data and information systems","Large (250+ employees)","Data Scientist",,2,,4,,4,,,,not_required,,desirable,,essential,,,,essential,,desirable,,,,not_required,,,
Italy,"Finance and insurance services","Large (250+ employees)","Data Scientist","R,MongoDB,ProM or Disco,NoSQL / Cassandra,AWS",2,,,1,2,2,2,1,essential,,,desirable,essential,essential,essential,not_required,,,desirable,desirable,,essential,not_required,desirable,desirable,essential
Italy,"Public administration and defence","Large (250+ employees)",Manager,"R,NoSQL / Cassandra,Spark",2,1,4,1,1,1,1,1,essential,desirable,desirable,desirable,desirable,essential,essential,not_required,desirable,desirable,desirable,desirable,not_required,essential,not_required,not_required,essential,essential
Italy,"Public administration and defence","Large (250+ employees)","Data Scientist","z-scores,NoSQL / Cassandra,Spark,R",1,1,1,1,1,1,3,1,essential,desirable,desirable,desirable,desirable,essential,essential,not_required,desirable,desirable,desirable,essential,not_required,essential,not_required,not_required,essential,essential
Italy,Education,"Micro (<10 employees)",Manager,"Apache Storm,NoSQL / Cassandra,Hadoop / MapReduce,MongoDB,Spark,ProM or Disco,R,D3 / nvD3",4,4,1,3,3,3,2,4,desirable,desirable,essential,essential,essential,desirable,essential,not_required,essential,desirable,essential,essential,essential,desirable,not_required,not_required,not_required,not_required
Germany,"Data and information systems","SME (10 to 250 employees)","Data Scientist",,,,,,,,,,desirable,essential,desirable,essential,desirable,essential,essential,essential,,,,,,,,,,
,,,Other,"Apache Storm",,,,,,,,,,,,,,,,,,,,,,,,,,
